[2017-10-22 10:54:08]	 Pacman collected 1 points!
[2017-10-22 10:54:09]	 Pacman collected 1 points!
[2017-10-22 10:54:09]	 Pacman collected 1 points!
[2017-10-22 10:54:09]	 Pacman collected 1 points!
[2017-10-22 10:54:11]	 Pacman collected 5 points!
[2017-10-22 10:54:11]	 Pacman collected 1 points!
[2017-10-22 10:54:11]	 Pacman collected 1 points!
[2017-10-22 10:54:12]	 Pacman collected 50 points!
[2017-10-22 10:54:14]	 Pacman collected 1 points!
[2017-10-22 10:54:15]	 Pacman collected 5 points!
[2017-10-22 10:54:15]	 Pacman collected 1 points!
[2017-10-22 10:54:16]	 Pacman collected 1 points!
[2017-10-22 10:54:16]	 Pacman collected 50 points!
[2017-10-22 10:54:17]	 Pacman collected 5 points!
[2017-10-22 10:54:17]	 Pacman collected 1 points!
[2017-10-22 10:54:17]	 Pacman collected 5 points!
[2017-10-22 10:54:17]	 Pacman collected 5 points!
[2017-10-22 10:54:18]	 Pacman collected 1 points!
[2017-10-22 10:54:18]	 Pacman collected 50 points!
[2017-10-22 10:54:18]	 Pacman collected 1 points!
[2017-10-22 10:54:19]	 Pacman collected 1 points!
[2017-10-22 10:54:19]	 Pacman collected 1 points!
[2017-10-22 10:54:21]	 Pacman collected 1 points!
[2017-10-22 10:54:23]	 Pacman collected 1 points!
[2017-10-22 10:54:24]	 Pacman collected 1 points!
[2017-10-22 10:58:08]	 Pacman collected 1 points!
[2017-10-22 10:58:08]	 Pacman collected 1 points!
[2017-10-22 10:58:09]	 Pacman collected 1 points!
[2017-10-22 10:58:09]	 Pacman collected 1 points!
[2017-10-22 10:58:09]	 Pacman collected 5 points!
[2017-10-22 10:58:18]	 Pacman collected 5 points!
[2017-10-22 10:58:19]	 Pacman collected 1 points!
[2017-10-22 10:58:20]	 Pacman collected 1 points!
[2017-10-22 10:58:20]	 Pacman collected 5 points!
[2017-10-22 10:58:21]	 Pacman collected 1 points!
[2017-10-22 10:58:21]	 Pacman collected 5 points!
[2017-10-22 10:58:22]	 Pacman collected 5 points!
[2017-10-22 10:58:23]	 Pacman collected 1 points!
[2017-10-22 10:58:23]	 Pacman collected 5 points!
[2017-10-22 10:58:24]	 Pacman collected 1 points!
[2017-10-22 10:58:24]	 Pacman collected 5 points!
[2017-10-22 10:58:24]	 Pacman collected 1 points!
[2017-10-22 10:58:24]	 Pacman collected 1 points!
[2017-10-22 10:58:24]	 Pacman collected 1 points!
[2017-10-22 10:58:24]	 Pacman collected 1 points!
[2017-10-22 10:58:25]	 Pacman collected 1 points!
[2017-10-22 10:58:25]	 Pacman collected 1 points!
[2017-10-22 10:58:25]	 Pacman collected 1 points!
[2017-10-22 10:58:25]	 Pacman collected 1 points!
[2017-10-22 10:58:25]	 Pacman collected 1 points!
[2017-10-22 10:58:26]	 Pacman collected 5 points!
[2017-10-22 10:58:27]	 Pacman collected 50 points!
[2017-10-22 10:58:28]	 Pacman collected 1 points!
[2017-10-22 10:58:28]	 Pacman collected 1 points!
[2017-10-22 10:58:28]	 Pacman collected 1 points!
[2017-10-22 10:58:29]	 Pacman collected 1 points!
[2017-10-22 10:58:29]	 Pacman collected 1 points!
[2017-10-22 10:58:30]	 Pacman collected 1 points!
[2017-10-22 10:58:30]	 Pacman collected 5 points!
[2017-10-22 10:58:32]	 Pacman collected 1 points!
[2017-10-22 10:58:34]	 Pacman collected 1 points!
[2017-10-22 10:58:34]	 Pacman collected 1 points!
[2017-10-22 10:58:34]	 Pacman collected 1 points!
[2017-10-22 10:58:34]	 Pacman collected 1 points!
[2017-10-22 10:58:35]	 Pacman collected 1 points!
[2017-10-22 10:58:35]	 Pacman collected 5 points!
[2017-10-22 10:58:36]	 Pacman collected 1 points!
[2017-10-22 10:58:36]	 Pacman collected 1 points!
[2017-10-22 10:58:36]	 Pacman collected 1 points!
